Date,In lb,In Kg,Amount $
2021-09-22,5.2668947368421,2.370102631578945,1
2021-09-23,5.2683684210526,2.37076578947367,1
2021-09-24,5.2679473684211,2.3705763157894952,1
2021-09-26,5.2645789473684,2.36906052631578,1
2021-09-27,5.2681052631579,2.370647368421055,1
2021-09-28,5.2682631578947,2.370718421052615,1
2021-09-29,5.268,2.3706,1
2021-09-30,5.2641052631579,2.368847368421055,1
2021-10-01,5.00145,2.2506525,1
2021-10-02,5.00165,2.2507425,1
2021-10-03,5.00365,2.2516425000000004,1
2021-10-04,5.00155,2.2506975000000002,1
2021-10-05,5.00245,2.2511025,1
2021-10-06,5.00195,2.2508775,1
2021-10-07,5.0038,2.25171,1
2021-10-08,5.00485,2.2521825,1
2021-10-09,5.001,2.2504500000000003,1
2021-10-10,5.00205,2.2509224999999997,1
2021-10-11,5.0012,2.25054,1
2021-10-12,5.0024,2.25108,1
2021-10-13,5.00185,2.2508325,1
2021-10-14,5.0013,2.250585,1
2021-10-15,5.00485,2.2521825,1
2021-10-16,5.0037,2.251665,1
2021-10-17,5.0021,2.250945,1
2021-10-18,5.00175,2.2507875000000004,1
2021-10-19,5.2653684210526,2.36941578947367,1
2021-10-20,5.2642105263158,2.36889473684211,1
2021-10-21,5.2639473684211,2.368776315789495,1
2021-10-22,5.2647894736842,2.36915526315789,1
2021-10-23,5.2640526315789,2.368823684210505,1
2021-10-24,5.2676842105263,2.3704578947368353,1
2021-10-25,5.2671578947368,2.3702210526315604,1
2021-10-26,5.2656842105263,2.3695578947368348,1
2021-10-27,5.00305,2.2513725,1
2021-10-28,5.0029,2.2513050000000003,1
2021-10-29,5.0035,2.251575,1
2021-10-30,5.2658947368421,2.369652631578945,1
2021-10-31,5.2645789473684,2.36906052631578,1
2021-11-01,5.2664736842105,2.3699131578947252,1
2021-11-02,5.2674736842105,2.370363157894725,1
2021-11-03,5.0048,2.2521600000000004,1
2021-11-04,5.2673157894737,2.370292105263165,1
2021-11-05,5.0044,2.25198,1
2021-11-06,5.00215,2.2509675000000002,1
2021-11-07,5.0036,2.25162,1
2021-11-08,5.0023,2.251035,1
2021-11-09,5.00075,2.2503375,1
2021-11-10,5.00205,2.2509224999999997,1
2021-11-11,5.00105,2.2504725000000003,1
2021-11-12,5.00175,2.2507875000000004,1
2021-11-13,5.0019,2.250855,1
2021-11-15,5.0015,2.250675,1
2021-11-16,5.00475,2.2521375,1
2021-11-18,5.00165,2.2507425,1
2021-11-19,5.0018,2.25081,1
2021-11-20,5.00465,2.2520925,1
2021-11-21,5.0024,2.25108,1
2021-11-22,5.00425,2.2519125,1
2021-11-23,5.0036,2.25162,1
2021-11-24,5.00405,2.2518225000000003,1
2021-11-25,5.0009,2.2504049999999998,1
2021-11-26,5.00125,2.2505625,1
2021-11-27,5.2675263157895,2.3703868421052747,1
2021-11-28,5.2674210526316,2.3703394736842203,1
2021-11-29,5.2654210526316,2.36943947368422,1
2021-12-08,5.2670526315789,2.370173684210505,1
2021-12-09,5.00285,2.2512825,1
2021-12-10,5.00285,2.2512825,1
2021-12-11,5.00315,2.2514175,1
2021-12-12,5.0024,2.25108,1
2021-12-13,5.002,2.2509,1
2021-12-15,5.002,2.2509,1
2021-12-16,5.2644736842105,2.369013157894725,1
2021-12-17,5.2667368421053,2.370031578947385,1
2021-12-18,5.2663684210526,2.36986578947367,1
2021-12-19,5.2654210526316,2.36943947368422,1
2021-12-20,5.2663684210526,2.36986578947367,1
2021-12-21,5.2661052631579,2.3697473684210553,1
2021-12-22,5.2637368421053,2.368681578947385,1
2021-12-23,5.2646315789474,2.36908421052633,1
2021-12-24,5.2642631578947,2.368918421052615,1
2021-12-25,5.2676842105263,2.3704578947368353,1
2021-12-26,5.2673157894737,2.370292105263165,1
2021-12-27,5.2645789473684,2.36906052631578,1
2021-12-28,5.266,2.3697,1
2021-12-29,5.2646842105263,2.3691078947368354,1
2021-12-30,5.2678421052632,2.37052894736844,1
2021-12-31,5.267,2.37015,1
2022-01-01,5.2652631578947,2.369368421052615,1
2022-01-02,5.2649473684211,2.3692263157894953,1
2022-01-03,5.2637894736842,2.3687052631578904,1
2022-01-04,5.2682631578947,2.370718421052615,1
2022-01-06,5.5603333333333,2.5021499999999848,1
2022-01-07,5.5592777777778,2.5016750000000103,1
2022-01-09,5.5596111111111,2.5018249999999953,1
2022-01-10,5.5604444444444,2.50219999999998,1
2022-01-11,5.5570555555556,2.50067500000002,1
2022-01-12,5.5602222222222,2.50209999999999,1
2022-01-13,5.5596666666667,2.501850000000015,1
2022-01-14,5.5589444444444,2.50152499999998,1
2022-01-15,5.5596111111111,2.5018249999999953,1
2022-01-16,5.5568333333333,2.500574999999985,1
2022-01-17,5.559,2.50155,1
2022-01-18,0.054643364281813,0.024589513926815854,1
2022-01-19,0.053687600644122,0.0241594202898549,1
2022-01-20,0.052407543216344,0.0235833944473548,1
2022-01-21,0.052876914949815,0.023794611727416752,1
2022-01-22,0.052938062466914,0.0238221281101113,1
2022-01-23,0.052938062466914,0.0238221281101113,1
2022-01-24,0.052963472736898,0.0238335627316041,1
2022-02-08,0.055423268698061,0.02494047091412745,1
2022-02-09,0.055353624792474,0.0249091311566133,1
2022-02-10,0.054259761388286,0.0244168926247287,1
2022-02-11,0.054594653573377,0.02456759410801965,1
2022-02-12,0.054674685620558,0.0246036085292511,1
2022-02-13,0.054674685620558,0.0246036085292511,1
2022-02-14,0.054704209950793,0.024616894477856848,1
2022-02-15,0.055073237885463,0.02478295704845835,1
2022-02-16,0.055207942636514,0.024843574186431298,1
2022-02-17,0.055375760929718,0.0249190924183731,1
2022-02-18,0.054815342465753,0.024666904109588852,1
2022-02-19,0.054945054945055,0.024725274725274752,1
2022-02-20,0.054945054945055,0.024725274725274752,1
2022-02-21,0.05498021978022,0.024741098901099,1
2022-02-22,0.05499010989011,0.024745549450549503,1
2022-02-23,0.054128246753247,0.02435771103896115,1
2022-02-24,0.054014578833693,0.02430656047516185,1
2022-02-25,0.054747673782157,0.02463645320197065,1
2022-02-26,0.055401662049861,0.024930747922437452,1
2022-02-27,0.055401662049861,0.024930747922437452,1
2022-02-28,0.056836363636364,0.0255763636363638,1
2022-03-01,0.056615950226244,0.0254771776018098,1
2022-03-02,0.05482301369863,0.0246703561643835,1
2022-03-03,0.053730934479055,0.02417892051557475,1
2022-03-04,0.052844162704702,0.023779873217115898,1
2022-03-05,0.051652892561983,0.02324380165289235,1
2022-03-06,0.051652892561983,0.02324380165289235,1
2022-03-07,0.051688533057851,0.02325983987603295,1
2022-03-08,0.052034841393656,0.023415678627145203,1
2022-03-09,0.051609076843734,0.023224084579680303,1
2022-03-10,0.052605678233438,0.023672555205047102,1
2022-03-11,0.052335426478284,0.023550941915227802,1
2022-03-12,0.052002080083203,0.02340093603744135,1
2022-03-13,0.052002080083203,0.02340093603744135,1
2022-03-14,0.052040041601664,0.0234180187207488,1
2022-03-15,0.052431639601886,0.023594237820848702,1
2022-03-16,0.053362133333333,0.02401295999999985,1
2022-03-17,0.053926724137931,0.024267025862068952,1
2022-03-18,0.053489839572193,0.02407042780748685,1
2022-03-19,0.052742616033755,0.02373417721518975,1
2022-03-20,0.052742616033755,0.02373417721518975,1
2022-03-21,0.052752637130802,0.0237386867088609,1
2022-03-22,0.051941878567722,0.0233738453554749,1
2022-03-23,0.052200417536534,0.0234901878914403,1
2022-03-24,0.052041081643266,0.0234184867394697,1
2022-03-25,0.052028601144046,0.0234128705148207,1
2022-03-26,0.05091649694501,0.0229124236252545,1
2022-03-27,0.05091649694501,0.0229124236252545,1
2022-03-28,0.050936863543788,0.0229215885947046,1
2022-03-29,0.051003567787971,0.022951605504586952,1
2022-03-30,0.052322007318348,0.0235449032932566,1
2022-03-31,0.051355749486653,0.023110087268993853,1
2022-04-01,0.051279713114754,0.023075870901639303,1
2022-04-02,0.05162622612287,0.023231801755291503,1
2022-04-03,0.05162622612287,0.023231801755291503,1
2022-04-04,0.051674238513165,0.02325340733092425,1
2022-04-05,0.05103059663437,0.0229637684854665,1
2022-04-06,0.05096841569027,0.0229357870606215,1
2022-04-07,0.050979102956167,0.022940596330275148,1
2022-04-09,0.049164208456244,0.0221238938053098,1
2022-04-10,0.049164208456244,0.0221238938053098,1
2022-04-11,0.049190265486726,0.022135619469026698,1
2022-04-12,0.049291625615764,0.022181231527093802,1
2022-04-13,4.9436974789916,2.22466386554622,1
2022-04-14,4.9729125248509,2.237810636182905,1
2022-04-15,4.9721669980119,2.237475149105355,1
